,V1
892,Hematopoietic stem and progenitor cells (HSPC)
893,B-Cell Progenitors
894,Late Erythroid Precursors
895,CD4 Memory T-Cells 
896,CD4 Memory T-Cells 
897,CD4 Naive and regulatory T-Cells
898,CD4 Naive and regulatory T-Cells
899,CD4 Naive and regulatory T-Cells
900,Conventional Dendritic Cells (cDC)
901,CD4 Naive and regulatory T-Cells
902,CD4 Memory T-Cells 
903,CD4 Memory T-Cells 
904,Mature B-Cells
905,CD4 Naive and regulatory T-Cells
906,CD8 Naive T-cClls
907,CD4 Naive and regulatory T-Cells
908,Hematopoietic stem and progenitor cells (HSPC)
909,CD4 Naive and regulatory T-Cells
910,B-cells (Plasma cell)
911,Mature B-Cells
912,Mature B-Cells
913,CD4 Memory T-Cells 
914,CD4 Naive and regulatory T-Cells
915,CD16 Monocytes
916,CD8 Naive T-cClls
917,Late Erythroid Precursors
918,NK Cells
919,CD14 Monocytes
920,Late Erythrocytes
921,CD4 Naive and regulatory T-Cells
922,Conventional Dendritic Cells (cDC)
923,CD4 Memory T-Cells 
924,Late Erythroid Precursors
926,CD4 Naive and regulatory T-Cells
927,CD4 Memory T-Cells 
928,CD4 Memory T-Cells 
929,Late Erythrocytes
930,B-Cell Progenitors
931,CD8 Memory T-Cells
932,CD4 Naive and regulatory T-Cells
933,CD4 Naive and regulatory T-Cells
934,CD4 Naive and regulatory T-Cells
935,Mature B-Cells
936,Early Erythrocytes
937,CD4 Naive and regulatory T-Cells
938,Late Erythroid Precursors
939,CD4 Naive and regulatory T-Cells
940,Mature B-Cells
941,CD4 Memory T-Cells 
942,Monocyte Progenitor Cells
943,CD4 Memory T-Cells 
944,CD4 Memory T-Cells 
945,CD4 Naive and regulatory T-Cells
946,CD14 Monocytes
947,CD14 Monocytes
948,CD8 Naive T-cClls
949,CD14 Monocytes
950,Late Erythrocytes
951,Late Erythroid Precursors
952,Conventional Dendritic Cells (cDC)
953,Late Erythrocytes
954,CD8 Memory T-Cells
955,CD4 Naive and regulatory T-Cells
956,CD4 Naive and regulatory T-Cells
957,CD4 Naive and regulatory T-Cells
958,CD14 Monocytes
959,CD14 Monocytes
960,CD4 Naive and regulatory T-Cells
961,Mature B-Cells
962,CD4 Naive and regulatory T-Cells
963,CD8 Memory T-Cells
964,B-Cell Progenitors
965,Early Erythroid Precursors
966,CD4 Memory T-Cells 
967,CD4 Naive and regulatory T-Cells
968,CD4 Naive and regulatory T-Cells
969,Monocyte Progenitor Cells
970,CD4 Naive and regulatory T-Cells
971,CD4 Naive and regulatory T-Cells
972,CD8 Memory T-Cells
973,CD4 Naive and regulatory T-Cells
974,CD8 Memory T-Cells
975,CD4 Naive and regulatory T-Cells
976,Late Erythroid Precursors
977,CD4 Naive and regulatory T-Cells
978,CD4 Naive and regulatory T-Cells
979,NK Cells
980,CD14 Monocytes
981,Mature B-Cells
982,Late Erythrocytes
983,NK Cells
984,CD16 Monocytes
985,Mature B-Cells
986,CD4 Memory T-Cells 
987,CD14 Monocytes
988,CD8 Memory T-Cells
989,CD8 Memory T-Cells
990,CD16 Monocytes
991,CD14 Monocytes
992,CD4 Naive and regulatory T-Cells
993,CD8 Naive T-cClls
994,Late Erythrocytes
995,Late Erythroid Precursors
996,Mature B-Cells
997,CD14 Monocytes
998,CD4 Naive and regulatory T-Cells
999,CD4 Naive and regulatory T-Cells
1000,CD8 Memory T-Cells
1001,CD14 Monocytes
1002,CD4 Memory T-Cells 
1003,CD4 Memory T-Cells 
1004,Monocyte Progenitor Cells
1005,Hematopoietic stem and progenitor cells (HSPC)
1006,Monocyte Progenitor Cells
1007,Late Erythroid Precursors
1008,CD4 Memory T-Cells 
1009,NK Cells
1010,CD8 Memory T-Cells
1011,CD4 Naive and regulatory T-Cells
1012,Late Erythroid Precursors
1013,Late Erythrocytes
1014,CD4 Naive and regulatory T-Cells
1015,CD8 Memory T-Cells
1016,B-Cell Progenitors
1017,B-Cell Progenitors
1018,CD8 Memory T-Cells
1019,CD4 Memory T-Cells 
1020,CD14 Monocytes
1021,NK Cells
1022,CD4 Naive and regulatory T-Cells
1023,CD8 Naive T-cClls
1024,CD4 Naive and regulatory T-Cells
1025,CD4 Naive and regulatory T-Cells
1026,CD4 Naive and regulatory T-Cells
1027,NK Cells
1028,CD4 Naive and regulatory T-Cells
1029,CD4 Naive and regulatory T-Cells
1030,CD8 Naive T-cClls
1031,CD14 Monocytes
1032,Mature B-Cells
1033,Late Erythrocytes
1034,CD4 Naive and regulatory T-Cells
1035,CD8 Naive T-cClls
1036,Late Erythroid Precursors
1037,CD4 Naive and regulatory T-Cells
1038,Early Erythrocytes
1039,Mature B-Cells
1040,CD14 Monocytes
1041,CD4 Naive and regulatory T-Cells
1042,CD14 Monocytes
1043,Mature B-Cells
1044,CD8 Memory T-Cells
1045,Hematopoietic stem and progenitor cells (HSPC)
1046,CD8 Naive T-cClls
1047,CD4 Memory T-Cells 
1048,CD14 Monocytes
1049,Monocyte Progenitor Cells
1050,CD8 Memory T-Cells
1051,CD4 Naive and regulatory T-Cells
1052,CD8 Memory T-Cells
1053,Early Erythrocytes
1054,CD8 Memory T-Cells
1055,Hematopoietic stem and progenitor cells (HSPC)
1056,CD4 Memory T-Cells 
1057,CD4 Memory T-Cells 
1058,CD8 Memory T-Cells
1059,CD4 Naive and regulatory T-Cells
1060,CD8 Memory T-Cells
1061,CD4 Naive and regulatory T-Cells
1062,CD14 Monocytes
1063,CD4 Naive and regulatory T-Cells
1064,CD4 Naive and regulatory T-Cells
1065,CD4 Naive and regulatory T-Cells
1066,CD4 Naive and regulatory T-Cells
1067,CD8 Naive T-cClls
1068,CD8 Memory T-Cells
1069,CD4 Naive and regulatory T-Cells
1070,CD14 Monocytes
1071,CD8 Memory T-Cells
1072,CD8 Naive T-cClls
1073,CD8 Memory T-Cells
1074,CD8 Naive T-cClls
1075,Late Erythrocytes
1076,CD14 Monocytes
1077,CD8 Naive T-cClls
1078,Mature B-Cells
1079,CD4 Memory T-Cells 
1080,CD4 Naive and regulatory T-Cells
1081,CD4 Naive and regulatory T-Cells
1082,CD4 Memory T-Cells 
1083,CD4 Memory T-Cells 
1084,Late Erythrocytes
1085,CD4 Naive and regulatory T-Cells
1086,Late Erythroid Precursors
1087,CD4 Naive and regulatory T-Cells
1088,CD4 Memory T-Cells 
1089,CD14 Monocytes
1090,Late Erythrocytes
1091,Monocyte Progenitor Cells
1092,CD4 Naive and regulatory T-Cells
1093,CD4 Memory T-Cells 
1094,Late Erythrocytes
1095,CD4 Naive and regulatory T-Cells
1096,CD4 Naive and regulatory T-Cells
1097,CD4 Naive and regulatory T-Cells
1098,Conventional Dendritic Cells (cDC)
1099,CD4 Memory T-Cells 
1100,CD8 Memory T-Cells
1101,CD8 Memory T-Cells
1102,NK Cells
1103,CD4 Memory T-Cells 
1104,Plasmacytoid dendritic cells (pDC)
1105,CD4 Naive and regulatory T-Cells
1106,NK Cells
1107,CD4 Naive and regulatory T-Cells
1108,Mature B-Cells
1109,CD14 Monocytes
1110,Early Erythroid Precursors
1111,Monocyte Progenitor Cells
1112,CD4 Memory T-Cells 
1113,CD8 Naive T-cClls
1114,Mature B-Cells
1115,Late Erythrocytes
1116,CD14 Monocytes
1117,Late Erythroid Precursors
1118,CD8 Naive T-cClls
1119,CD4 Memory T-Cells 
1120,CD4 Naive and regulatory T-Cells
1121,CD4 Naive and regulatory T-Cells
1122,CD4 Naive and regulatory T-Cells
1123,CD4 Memory T-Cells 
1124,CD4 Naive and regulatory T-Cells
1125,CD4 Naive and regulatory T-Cells
1126,CD4 Naive and regulatory T-Cells
1127,Mature B-Cells
1128,NK Cells
1129,CD4 Naive and regulatory T-Cells
1130,CD16 Monocytes
1131,CD4 Naive and regulatory T-Cells
1132,CD14 Monocytes
1133,Plasmacytoid dendritic cells (pDC)
1134,CD14 Monocytes
1135,CD8 Memory T-Cells
1136,CD4 Naive and regulatory T-Cells
1137,Plasmacytoid dendritic cells (pDC)
1138,CD8 Memory T-Cells
1139,CD14 Monocytes
1140,CD4 Naive and regulatory T-Cells
1141,Early Erythrocytes
1142,Late Erythrocytes
1143,Late Erythroid Precursors
1144,CD8 Memory T-Cells
1145,CD14 Monocytes
1146,Early Erythroid Precursors
1147,Mature B-Cells
1148,CD14 Monocytes
1149,CD14 Monocytes
1150,Early Erythrocytes
1151,CD4 Naive and regulatory T-Cells
1152,CD14 Monocytes
1153,Mature B-Cells
1154,Late Erythrocytes
1155,CD16 Monocytes
1156,CD4 Naive and regulatory T-Cells
1157,CD4 Naive and regulatory T-Cells
1158,CD4 Memory T-Cells 
1159,CD4 Naive and regulatory T-Cells
1160,CD4 Naive and regulatory T-Cells
1161,CD14 Monocytes
1162,CD14 Monocytes
1163,CD4 Naive and regulatory T-Cells
1164,Late Erythroid Precursors
1165,CD4 Naive and regulatory T-Cells
1166,Conventional Dendritic Cells (cDC)
1167,CD4 Memory T-Cells 
1168,B-cells (Plasma cell)
1169,CD16 Monocytes
1170,Mature B-Cells
1171,Conventional Dendritic Cells (cDC)
1172,Late Erythrocytes
1173,Hematopoietic stem and progenitor cells (HSPC)
1174,CD4 Naive and regulatory T-Cells
1175,CD4 Memory T-Cells 
1176,CD4 Memory T-Cells 
1177,CD8 Memory T-Cells
1178,CD8 Memory T-Cells
1179,CD4 Naive and regulatory T-Cells
1180,Conventional Dendritic Cells (cDC)
1181,Monocyte Progenitor Cells
1182,CD8 Memory T-Cells
1183,B-Cell Progenitors
1184,Early Erythrocytes
1185,NK Cells
1186,CD14 Monocytes
1187,Late Erythrocytes
1188,Hematopoietic stem and progenitor cells (HSPC)
1189,CD4 Naive and regulatory T-Cells
1190,CD4 Naive and regulatory T-Cells
1191,Monocyte Progenitor Cells
1192,CD8 Naive T-cClls
1193,Plasmacytoid dendritic cells (pDC)
1194,CD4 Naive and regulatory T-Cells
1195,CD14 Monocytes
1196,B-Cell Progenitors
1197,CD8 Naive T-cClls
1198,Mature B-Cells
1199,CD4 Naive and regulatory T-Cells
1200,Mature B-Cells
1201,Conventional Dendritic Cells (cDC)
1202,CD4 Memory T-Cells 
1203,CD4 Memory T-Cells 
1204,CD8 Memory T-Cells
1205,CD14 Monocytes
1206,Late Erythrocytes
1207,Mature B-Cells
1208,Late Erythrocytes
1209,Plasmacytoid dendritic cells (pDC)
1210,CD4 Memory T-Cells 
1211,CD4 Naive and regulatory T-Cells
1212,CD14 Monocytes
1213,CD14 Monocytes
1214,CD4 Naive and regulatory T-Cells
1215,CD4 Naive and regulatory T-Cells
1216,Monocyte Progenitor Cells
1217,Late Erythrocytes
1218,CD4 Naive and regulatory T-Cells
1219,CD4 Naive and regulatory T-Cells
1220,CD4 Memory T-Cells 
1221,CD14 Monocytes
1222,CD4 Naive and regulatory T-Cells
1223,Conventional Dendritic Cells (cDC)
1224,CD14 Monocytes
1225,CD4 Naive and regulatory T-Cells
1226,CD4 Naive and regulatory T-Cells
1227,Late Erythroid Precursors
1228,Early Erythroid Precursors
1229,Late Erythrocytes
1230,Early Erythrocytes
1231,Mature B-Cells
1232,Late Erythroid Precursors
1233,CD8 Memory T-Cells
1234,CD14 Monocytes
1235,NK Cells
1236,CD14 Monocytes
1237,CD4 Naive and regulatory T-Cells
1238,NK Cells
1239,NK Cells
1240,CD4 Memory T-Cells 
1241,CD14 Monocytes
1242,CD4 Naive and regulatory T-Cells
1243,CD8 Memory T-Cells
1244,CD4 Naive and regulatory T-Cells
1245,Mature B-Cells
1246,Hematopoietic stem and progenitor cells (HSPC)
1247,Late Erythroid Precursors
1248,Mature B-Cells
1249,CD8 Memory T-Cells
1250,CD14 Monocytes
1251,CD4 Naive and regulatory T-Cells
1252,CD14 Monocytes
1253,Mature B-Cells
1254,CD4 Naive and regulatory T-Cells
1255,Conventional Dendritic Cells (cDC)
1256,CD4 Naive and regulatory T-Cells
1257,CD4 Naive and regulatory T-Cells
1258,CD8 Naive T-cClls
1259,CD8 Naive T-cClls
1260,CD4 Memory T-Cells 
1261,CD8 Memory T-Cells
1262,Late Erythroid Precursors
1263,CD4 Naive and regulatory T-Cells
1264,CD8 Memory T-Cells
1265,CD8 Memory T-Cells
1266,CD4 Memory T-Cells 
1267,CD8 Memory T-Cells
1268,Mature B-Cells
1269,Monocyte Progenitor Cells
1270,NK Cells
1271,CD8 Memory T-Cells
1272,Late Erythrocytes
1273,CD8 Naive T-cClls
1274,B-Cell Progenitors
1275,CD14 Monocytes
1276,CD4 Naive and regulatory T-Cells
1277,Late Erythrocytes
1278,NK Cells
1279,CD8 Naive T-cClls
1280,CD4 Memory T-Cells 
1281,CD4 Naive and regulatory T-Cells
1282,CD4 Memory T-Cells 
1283,CD16 Monocytes
1284,CD4 Naive and regulatory T-Cells
1285,CD4 Naive and regulatory T-Cells
1286,CD14 Monocytes
1287,CD4 Naive and regulatory T-Cells
1288,Mature B-Cells
1289,Mature B-Cells
1290,CD4 Memory T-Cells 
1291,CD4 Memory T-Cells 
1292,CD4 Memory T-Cells 
1293,B-Cell Progenitors
1294,Late Erythroid Precursors
1295,CD8 Memory T-Cells
1296,Monocyte Progenitor Cells
1297,CD4 Naive and regulatory T-Cells
1298,CD4 Naive and regulatory T-Cells
1299,CD4 Naive and regulatory T-Cells
1300,CD4 Naive and regulatory T-Cells
1301,CD4 Naive and regulatory T-Cells
1302,Conventional Dendritic Cells (cDC)
1303,CD8 Naive T-cClls
1304,Mature B-Cells
1305,CD14 Monocytes
1306,CD4 Naive and regulatory T-Cells
1307,CD14 Monocytes
1308,CD14 Monocytes
1309,CD4 Naive and regulatory T-Cells
1310,CD8 Memory T-Cells
1311,Late Erythrocytes
1312,CD4 Memory T-Cells 
1313,Early Erythrocytes
1314,CD8 Memory T-Cells
1315,CD4 Naive and regulatory T-Cells
1316,CD4 Naive and regulatory T-Cells
1317,CD14 Monocytes
1318,CD4 Naive and regulatory T-Cells
1319,Mature B-Cells
1320,CD14 Monocytes
1321,Hematopoietic stem and progenitor cells (HSPC)
1322,CD4 Memory T-Cells 
1323,Late Erythrocytes
1324,CD14 Monocytes
1325,NK Cells
1326,Late Erythrocytes
1327,Early Erythrocytes
1328,CD4 Memory T-Cells 
1329,Mature B-Cells
1330,CD4 Naive and regulatory T-Cells
1331,Late Erythroid Precursors
1332,CD8 Memory T-Cells
1333,NK Cells
1334,CD4 Naive and regulatory T-Cells
1335,Hematopoietic stem and progenitor cells (HSPC)
1336,NK Cells
1337,CD4 Memory T-Cells 
1338,CD4 Naive and regulatory T-Cells
1339,Conventional Dendritic Cells (cDC)
1340,CD8 Memory T-Cells
1341,Late Erythrocytes
1342,CD8 Naive T-cClls
1343,Monocyte Progenitor Cells
1344,CD4 Memory T-Cells 
1345,CD8 Memory T-Cells
1346,CD4 Naive and regulatory T-Cells
1347,CD4 Memory T-Cells 
1348,CD4 Naive and regulatory T-Cells
1349,Late Erythrocytes
1350,Late Erythrocytes
1351,CD4 Naive and regulatory T-Cells
1352,CD4 Memory T-Cells 
1353,CD8 Memory T-Cells
1354,CD4 Naive and regulatory T-Cells
1355,CD4 Naive and regulatory T-Cells
1356,CD8 Naive T-cClls
1357,Hematopoietic stem and progenitor cells (HSPC)
1358,CD14 Monocytes
1359,CD14 Monocytes
1360,B-Cell Progenitors
1361,Monocyte Progenitor Cells
1362,CD8 Memory T-Cells
1363,Late Erythroid Precursors
1364,Monocyte Progenitor Cells
1365,CD14 Monocytes
1366,CD14 Monocytes
1367,CD8 Naive T-cClls
1368,CD8 Naive T-cClls
1369,Mature B-Cells
1370,NK Cells
1371,CD14 Monocytes
1372,Late Erythrocytes
1373,CD4 Memory T-Cells 
1374,Mature B-Cells
1375,CD4 Naive and regulatory T-Cells
1377,Early Erythrocytes
1378,Late Erythroid Precursors
1379,Monocyte Progenitor Cells
1380,Hematopoietic stem and progenitor cells (HSPC)
1381,CD4 Memory T-Cells 
1382,CD8 Memory T-Cells
1383,CD16 Monocytes
1384,CD4 Naive and regulatory T-Cells
1385,CD4 Memory T-Cells 
1386,CD4 Memory T-Cells 
1387,CD4 Memory T-Cells 
1388,B-cells (Plasma cell)
1389,CD4 Naive and regulatory T-Cells
1390,B-Cell Progenitors
1391,CD4 Naive and regulatory T-Cells
1392,CD4 Naive and regulatory T-Cells
1393,Hematopoietic stem and progenitor cells (HSPC)
1394,Hematopoietic stem and progenitor cells (HSPC)
1395,CD8 Naive T-cClls
1396,CD4 Naive and regulatory T-Cells
1397,Plasmacytoid dendritic cells (pDC)
1398,Mature B-Cells
1399,CD4 Memory T-Cells 
1400,CD4 Memory T-Cells 
1401,CD4 Naive and regulatory T-Cells
1402,Late Erythroid Precursors
1403,CD4 Memory T-Cells 
1404,CD8 Memory T-Cells
1405,CD4 Naive and regulatory T-Cells
1406,Early Erythrocytes
1407,Late Erythroid Precursors
1408,CD4 Memory T-Cells 
1409,CD4 Naive and regulatory T-Cells
1410,B-Cell Progenitors
1411,Late Erythrocytes
1412,CD8 Memory T-Cells
1413,CD4 Memory T-Cells 
1414,Mature B-Cells
1415,Mature B-Cells
1416,Monocyte Progenitor Cells
1417,CD4 Naive and regulatory T-Cells
1418,CD14 Monocytes
1419,CD4 Naive and regulatory T-Cells
1420,CD8 Memory T-Cells
1421,CD4 Naive and regulatory T-Cells
1422,CD4 Memory T-Cells 
1423,Late Erythroid Precursors
1424,CD4 Naive and regulatory T-Cells
1425,CD8 Memory T-Cells
1426,Late Erythroid Precursors
1427,Mature B-Cells
1428,CD4 Naive and regulatory T-Cells
1429,CD8 Memory T-Cells
1430,CD4 Naive and regulatory T-Cells
1431,CD16 Monocytes
1432,Mature B-Cells
1433,B-Cell Progenitors
1434,B-Cell Progenitors
1435,Early Erythroid Precursors
1436,CD4 Naive and regulatory T-Cells
1437,CD4 Naive and regulatory T-Cells
1438,B-cells (Plasma cell)
1439,CD8 Memory T-Cells
1440,CD14 Monocytes
1441,Late Erythrocytes
1442,Plasmacytoid dendritic cells (pDC)
1443,Late Erythrocytes
1444,CD4 Naive and regulatory T-Cells
1445,CD14 Monocytes
1446,Late Erythrocytes
1447,CD4 Memory T-Cells 
1448,CD14 Monocytes
1449,Early Erythroid Precursors
1450,Monocyte Progenitor Cells
1451,CD4 Memory T-Cells 
1452,CD8 Memory T-Cells
1453,CD16 Monocytes
1454,CD4 Naive and regulatory T-Cells
1455,CD4 Memory T-Cells 
1456,Early Erythroid Precursors
1457,CD4 Naive and regulatory T-Cells
1458,CD8 Naive T-cClls
1459,CD4 Naive and regulatory T-Cells
1460,CD4 Naive and regulatory T-Cells
1461,CD4 Memory T-Cells 
1462,Hematopoietic stem and progenitor cells (HSPC)
1463,NK Cells
1464,Late Erythroid Precursors
1465,B-Cell Progenitors
1466,CD4 Memory T-Cells 
1467,CD4 Memory T-Cells 
1468,CD14 Monocytes
1469,NK Cells
1470,CD14 Monocytes
1471,CD14 Monocytes
1472,CD8 Memory T-Cells
1473,CD14 Monocytes
1474,CD4 Naive and regulatory T-Cells
1475,CD8 Memory T-Cells
1476,Early Erythroid Precursors
1477,CD4 Naive and regulatory T-Cells
1478,CD4 Naive and regulatory T-Cells
1479,CD8 Memory T-Cells
1480,Late Erythroid Precursors
1481,Late Erythrocytes
1482,Conventional Dendritic Cells (cDC)
1483,CD4 Naive and regulatory T-Cells
1484,Monocyte Progenitor Cells
1485,CD8 Memory T-Cells
1486,CD8 Naive T-cClls
1487,B-Cell Progenitors
1488,CD4 Naive and regulatory T-Cells
1489,CD4 Naive and regulatory T-Cells
1490,CD14 Monocytes
1491,CD8 Memory T-Cells
1492,CD4 Naive and regulatory T-Cells
1493,Mature B-Cells
1494,CD4 Naive and regulatory T-Cells
1495,NK Cells
1496,Mature B-Cells
1497,CD8 Memory T-Cells
1498,CD8 Naive T-cClls
1499,CD8 Memory T-Cells
1500,CD8 Memory T-Cells
1501,B-cells (Plasma cell)
1502,B-cells (Plasma cell)
1503,CD8 Memory T-Cells
1504,CD4 Naive and regulatory T-Cells
1505,CD4 Naive and regulatory T-Cells
1506,CD14 Monocytes
1507,CD8 Naive T-cClls
1508,NK Cells
1509,Monocyte Progenitor Cells
1510,Late Erythroid Precursors
1511,Mature B-Cells
1512,Early Erythrocytes
1513,Late Erythrocytes
1514,CD4 Naive and regulatory T-Cells
1515,CD4 Memory T-Cells 
1516,CD4 Naive and regulatory T-Cells
1517,Late Erythrocytes
1518,Mature B-Cells
1519,CD16 Monocytes
1520,CD4 Naive and regulatory T-Cells
1521,NK Cells
1522,Early Erythroid Precursors
1523,CD8 Memory T-Cells
1524,Mature B-Cells
1525,CD14 Monocytes
1526,CD16 Monocytes
1527,Mature B-Cells
1528,CD4 Naive and regulatory T-Cells
1529,CD4 Naive and regulatory T-Cells
1530,Mature B-Cells
1531,CD4 Naive and regulatory T-Cells
1532,CD4 Naive and regulatory T-Cells
1533,Monocyte Progenitor Cells
1534,CD4 Memory T-Cells 
1535,CD4 Memory T-Cells 
1536,CD8 Naive T-cClls
1537,Mature B-Cells
1538,Mature B-Cells
1539,CD16 Monocytes
1540,B-Cell Progenitors
1541,CD4 Naive and regulatory T-Cells
1542,CD8 Memory T-Cells
1543,CD4 Naive and regulatory T-Cells
1544,Late Erythrocytes
1545,Late Erythroid Precursors
1546,Monocyte Progenitor Cells
1547,CD4 Naive and regulatory T-Cells
1548,CD4 Naive and regulatory T-Cells
1549,CD8 Naive T-cClls
1550,Late Erythrocytes
1551,CD4 Memory T-Cells 
1552,CD14 Monocytes
1553,NK Cells
1554,Monocyte Progenitor Cells
1555,CD4 Naive and regulatory T-Cells
1556,Mature B-Cells
1557,Mature B-Cells
1558,NK Cells
1559,CD4 Naive and regulatory T-Cells
1560,CD14 Monocytes
1561,CD4 Memory T-Cells 
1562,CD8 Memory T-Cells
1563,CD4 Naive and regulatory T-Cells
1564,CD8 Memory T-Cells
1565,NK Cells
1566,Late Erythroid Precursors
1567,Early Erythrocytes
1568,Late Erythroid Precursors
1569,CD4 Naive and regulatory T-Cells
1570,CD4 Naive and regulatory T-Cells
1571,Monocyte Progenitor Cells
1572,CD4 Naive and regulatory T-Cells
1573,CD4 Memory T-Cells 
1574,Mature B-Cells
1575,CD4 Naive and regulatory T-Cells
1576,CD8 Naive T-cClls
1577,CD4 Naive and regulatory T-Cells
1578,Hematopoietic stem and progenitor cells (HSPC)
1579,CD4 Naive and regulatory T-Cells
1580,Mature B-Cells
1581,Hematopoietic stem and progenitor cells (HSPC)
1582,Conventional Dendritic Cells (cDC)
1583,Late Erythroid Precursors
1584,Mature B-Cells
1585,CD4 Naive and regulatory T-Cells
1586,CD14 Monocytes
1587,CD4 Naive and regulatory T-Cells
1588,CD8 Memory T-Cells
1589,CD4 Naive and regulatory T-Cells
1590,CD14 Monocytes
1591,Late Erythrocytes
1592,CD14 Monocytes
1593,CD4 Naive and regulatory T-Cells
1594,NK Cells
1595,Mature B-Cells
1596,CD8 Memory T-Cells
1597,Mature B-Cells
1598,B-cells (Plasma cell)
1599,CD8 Memory T-Cells
1600,CD4 Naive and regulatory T-Cells
1601,Late Erythroid Precursors
1602,NK Cells
1603,CD4 Naive and regulatory T-Cells
1604,CD4 Naive and regulatory T-Cells
1605,CD14 Monocytes
1606,Early Erythroid Precursors
1607,CD4 Memory T-Cells 
1608,CD4 Memory T-Cells 
1609,CD16 Monocytes
1610,Late Erythroid Precursors
1611,CD14 Monocytes
1612,CD4 Naive and regulatory T-Cells
1613,CD8 Memory T-Cells
1614,CD8 Naive T-cClls
1615,NK Cells
1616,CD14 Monocytes
1617,Late Erythroid Precursors
1618,CD14 Monocytes
1619,CD4 Naive and regulatory T-Cells
1620,CD4 Memory T-Cells 
1621,CD8 Memory T-Cells
1622,CD4 Naive and regulatory T-Cells
1623,Mature B-Cells
1624,CD8 Memory T-Cells
1625,CD4 Memory T-Cells 
1626,CD8 Memory T-Cells
1627,CD4 Naive and regulatory T-Cells
1628,CD4 Naive and regulatory T-Cells
1629,B-cells (Plasma cell)
1630,CD4 Memory T-Cells 
1631,CD8 Memory T-Cells
1632,CD8 Naive T-cClls
1633,CD4 Naive and regulatory T-Cells
1634,Early Erythroid Precursors
1635,CD8 Memory T-Cells
1636,Conventional Dendritic Cells (cDC)
1637,CD14 Monocytes
1638,Late Erythrocytes
1639,CD4 Memory T-Cells 
1640,CD4 Naive and regulatory T-Cells
1641,CD8 Naive T-cClls
1642,CD8 Memory T-Cells
1643,CD14 Monocytes
1644,Early Erythroid Precursors
1645,CD16 Monocytes
1646,Late Erythrocytes
1647,CD4 Memory T-Cells 
1648,CD4 Memory T-Cells 
1649,CD14 Monocytes
1650,Mature B-Cells
1651,CD4 Naive and regulatory T-Cells
1652,CD8 Memory T-Cells
1653,B-Cell Progenitors
1654,CD14 Monocytes
1655,CD4 Naive and regulatory T-Cells
1656,CD4 Memory T-Cells 
1657,CD4 Naive and regulatory T-Cells
1658,CD14 Monocytes
1659,Late Erythrocytes
1660,Late Erythrocytes
1661,CD4 Naive and regulatory T-Cells
1662,NK Cells
1663,CD8 Naive T-cClls
1664,CD4 Naive and regulatory T-Cells
1665,CD8 Naive T-cClls
1666,Mature B-Cells
1667,CD4 Naive and regulatory T-Cells
1668,Late Erythroid Precursors
1669,Mature B-Cells
1670,CD8 Memory T-Cells
1671,CD16 Monocytes
1672,NK Cells
1673,CD4 Naive and regulatory T-Cells
1674,CD4 Naive and regulatory T-Cells
1675,Late Erythroid Precursors
1676,Late Erythrocytes
1677,CD4 Naive and regulatory T-Cells
1678,CD4 Naive and regulatory T-Cells
1679,Late Erythroid Precursors
1680,CD4 Memory T-Cells 
1681,Late Erythroid Precursors
1682,Hematopoietic stem and progenitor cells (HSPC)
1683,CD8 Memory T-Cells
1684,Mature B-Cells
1685,CD4 Naive and regulatory T-Cells
1686,CD4 Memory T-Cells 
1687,CD4 Naive and regulatory T-Cells
1688,CD8 Naive T-cClls
1689,Late Erythroid Precursors
1690,CD4 Memory T-Cells 
1691,CD4 Naive and regulatory T-Cells
1692,CD8 Memory T-Cells
1693,NK Cells
1694,CD4 Memory T-Cells 
1695,Mature B-Cells
1696,Mature B-Cells
1697,CD4 Memory T-Cells 
1698,CD4 Naive and regulatory T-Cells
1699,NK Cells
1700,CD8 Memory T-Cells
1701,Early Erythroid Precursors
1702,CD4 Naive and regulatory T-Cells
1703,Early Erythroid Precursors
1704,Mature B-Cells
1705,CD16 Monocytes
1706,CD8 Memory T-Cells
1707,CD8 Memory T-Cells
1708,Late Erythroid Precursors
1709,Late Erythrocytes
1710,Late Erythroid Precursors
1711,NK Cells
1712,B-cells (Plasma cell)
1713,CD8 Naive T-cClls
1714,CD8 Memory T-Cells
1715,Late Erythrocytes
1716,Mature B-Cells
1717,Late Erythroid Precursors
1718,CD4 Naive and regulatory T-Cells
1719,CD4 Naive and regulatory T-Cells
1720,CD16 Monocytes
1721,CD4 Naive and regulatory T-Cells
1722,CD4 Naive and regulatory T-Cells
1723,CD8 Naive T-cClls
1724,Early Erythroid Precursors
1725,Late Erythroid Precursors
1726,CD8 Memory T-Cells
1727,Mature B-Cells
1728,Late Erythrocytes
1729,CD4 Naive and regulatory T-Cells
1730,CD8 Memory T-Cells
1731,Late Erythroid Precursors
1732,CD14 Monocytes
1733,CD4 Naive and regulatory T-Cells
1734,CD14 Monocytes
1735,NK Cells
1736,CD4 Naive and regulatory T-Cells
1737,CD4 Naive and regulatory T-Cells
1738,CD14 Monocytes
1739,B-cells (Plasma cell)
1740,Late Erythrocytes
1741,Late Erythroid Precursors
1742,CD4 Naive and regulatory T-Cells
1743,Late Erythroid Precursors
1744,CD4 Naive and regulatory T-Cells
1745,CD4 Naive and regulatory T-Cells
1746,Early Erythrocytes
1747,NK Cells
1748,Late Erythrocytes
1749,CD14 Monocytes
1750,CD4 Naive and regulatory T-Cells
